label,input
urinary tract infection,"I've been having a lot of trouble urinating. I feel like I have to go all the time, and when I do, it hurts. My urine is also cloudy and has a strong smell."
varicose veins,I have a lot of varicose veins on my legs and they are really painful. I also get cramps in my legs a lot.
gastroesophageal reflux disease,"I have heartburn and indigestion. I vomit everything I eat. Food gets stuck in my throat, making it difficult for me to swallow. I have a pain in my upper abdomen."
malaria,"I've been feeling really hot and sweaty, and I've been throwing up. I've also been shivering and my skin is really itchy. I have a headache and my muscles hurt."
urinary tract infection,"I have a strong urge to urinate frequently, especially at night. My urine is cloudy and has a strong odor. I also have a fever."
impetigo,I have a fever and feel weak. I have sores on my face that are itchy and uncomfortable. The sores sometimes ooze a yellow fluid.
pneumonia,"I've been feeling really sick lately. I've been getting chills and I'm always tired. I have this cough that just won't go away. It's really hard to breathe when I cough and my chest hurts. I've also been coughing up this really gross, rusty phlegm."
psoriasis,I've noticed that my skin is more sensitive now than it used to be. It's red and itchy. I have silvery scales on my back and elbows.
hypertension,"I've been having chest pains, headaches, and I've been feeling dizzy."
impetigo,I have a rash on my face and neck. It's red and blistery. I'm worried about it.
diabetes,"I'm shaking and trembling all over. I've lost my sense of taste and smell, and I'm exhausted. I occasionally get palpitations or a racing heart."
pneumonia,I'm having trouble breathing and have a fever. I'm sweating a lot and feel really tired and cold. My heart is racing and I'm coughing up some brown mucus.
dengue,I have been experiencing severe joint pain and I am unable to move. I have also lost my appetite and feel weak.
diabetes,I've been feeling really thirsty and hungry lately. I also get really tired sometimes.
bronchial asthma,"I've been having trouble breathing, coughing, and feeling exhausted. I've been coughing up a lot of thick, mucusy stuff and have a fever. I'm just feeling really drained and tired."
malaria,"I have a fever, vomiting, chills, and severe itching. I've also been sweating a lot and have a headache. I've also been feeling nauseous and my muscles ache."
migraine,"I have been experiencing headaches, blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance."
common cold,"I've been coughing and sneezing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurts in my chest. I can't smell anything, and my muscles hurt."
drug reaction,"I've noticed a change in my monthly cycle and an unexpected vaginal discharge. I get irritable every now and again, and my moods swing a lot."
jaundice,"I've been feeling really itchy all over, and I've been throwing up. I've also lost a lot of weight, and I'm always tired. My skin and my pee are both yellow, and my stomach hurts."
allergy,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night I get chest pain and nauseous."
psoriasis,"I've been having trouble sleeping because of the rash. It's itchy and painful. I've also noticed that my nails have little dents in them, which is really alarming. And my joints are sore every day, and I don't know why."
impetigo,I've been having a fever for a few days and I have sores around my nose and rashes on my body. The sores are really bad and I'm feeling really sick.
chicken pox,I have red spots on my arms and legs that are really itchy. I can't sleep at night because of the itching. I also have a headache and a fever.
diabetes,"I've been feeling very thirsty lately, and I've been getting hungry more often. I've also been feeling very tired."
migraine,I have been having frequent headaches and blurred vision.
gastroesophageal reflux disease,"I have a sour taste in my mouth, even when I haven't eaten anything acidic. I also get hiccups and a feeling of a lump in my throat."
migraine,"I have been having frequent headaches that are so bad that they make me throw up. I also have blurred vision, a sore neck, and anxiety."
urinary tract infection,"I have a pain in my lower abdomen and I feel like I have to pee all the time. When I do pee, it burns and I feel like I'm not getting everything out. I've also been feeling really cold and weak."
chicken pox,I have a rash all over my body. It's really itchy and uncomfortable. I'm also feeling really tired and exhausted.
gastroesophageal reflux disease,"I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also get hiccups and a lump in my throat a lot."
dengue,"I've been feeling really tired and weak, and I can't seem to get enough sleep. I also have a rash on my neck that itches really bad. "
impetigo,"I have a rash on my skin that is red, raised, and filled with fluid. It is painful to touch and I have a fever."
arthritis,"My neck is really stiff, and my muscles are weak. My joints are swollen, and it's hard for me to move without getting stiff. Walking is also unpleasant."
hypertension,"I've been having headaches, chest discomfort, dizziness, and difficulty concentrating."
diabetes,I have rashes and skin irritations especially in the folds of my skin. My cuts and bruises don't heal very quickly either.
allergy,"I'm feeling sick, shaky, and nauseous. I have a sore throat that makes it hard to breathe. I occasionally have chest pains at night and sometimes feel sick."
cervical spondylosis,"I've been having back pain, a persistent cough, and numbness in my arms and legs. I've also had trouble staying balanced and experiencing dizziness. My neck hurts, too."
fungal infection,"My skin has been acting up recently, it's been itchy and I've been getting rashes. There are also some spots that are a different color than the rest of my skin, and I have these lumps or bumps that weren't there before."
common cold,I've been feeling really tired and sick. My nose is running and I'm sneezing a lot. My head hurts and I feel like I have no energy. I also have a fever and feel like I'm burning up.
migraine,"I've been having eyesight problems, increased appetite, a sore neck, melancholy, irritability, and regular headaches, as well as acid reflux, indigestion, and frequent dizziness. These symptoms have made my regular activities more difficult and have caused me a great deal of distress."
psoriasis,"My genitals are red and irritated. It is often itchy, burning, and painful. I also have rashes on other parts of my body and my joints hurt."
fungal infection,"I've been itching a lot, and it's been accompanied with a rash that looks to be getting worse over time. There are also some patches of skin that are different colours from the rest of the skin, as well as some lumps that resemble little nodes."
cervical spondylosis,"My muscles are weak and I have back pain. I've been feeling lightheaded and dizzy, and my neck hurts."
typhoid,I have a high fever and a headache. I also have a lot of pain in my belly. I can't go to work because of this.
arthritis,"I've been feeling weak and achy lately, and my joints are swollen and stiff. It's hard to move around, and walking is especially painful."
common cold,I've been feeling really tired and sick. My throat is really sore and I've been coughing a lot. My nose is really stuffy and I have a lot of pressure in my sinuses. I feel really miserable and exhausted.
chicken pox,"I've been feeling really itchy all over my body, and I have a rash that's red and inflamed."
peptic ulcer disease,I have difficulty swallowing food and often get a sensation of the food getting stuck in my throat. I have constant belching and bloating. There is a persitent sour taste in my mouth
urinary tract infection,"I have pain in my abdomen, and often get feverish. I have sudden and strong urges to pee. The pain is almost constant, and often increases at night time. My pee almost always has a foul smell. I also feel like I'm not emptying my bladder completely."
impetigo,I have sores on my face that are healing very slowly and are getting infected. The sores are large and painful to the touch. I can't seem to get rid of them.
impetigo,"I have a rash on my skin. It is mainly near my nose, but it is spreading to other parts of my body. I am worried about this."
allergy,I have asthma like symptoms like wheezing and difficulty breathing. I often get fever and have headaches. I feel tired all the time. I have a runny nose and itchy eyes.
diabetes,"I'm having trouble concentrating and my emotions are all over the place. My mind feels cloudy and foggy at times, making it hard to do even simple tasks."
allergy,"I feel sick, queasy, and wobbly. My throat is swollen and makes it hard for me to breathe. My chest hurts sometimes at night, and I sometimes feel sick."
varicose veins,I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell. I am worried that I may have varicose veins.
bronchial asthma,i have been suffering from dry cough and difficulty in breathing for a week now. i also feel weak throughout the day.
pneumonia,I'm having trouble breathing and I'm sweating a lot. I feel really sick and my throat is full of phlegm. My chest hurts and my heart is racing. I'm coughing up a lot of mucus that's brown and stringy.
cervical spondylosis,"I've been experiencing neck pain, balance issues, and dizziness."
malaria,"I've been feeling really sick for the past few days. I have a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. My head hurts and I feel nauseous and achy all over."
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. My joints have grown, and it's hard for me to walk without getting stiff. Walking has been extremely uncomfortable."
bronchial asthma,"I've been having a fever, a cough, and shortness of breath. I've also been coughing up a lot of thick, sticky saliva. I'm feeling really tired and worn out."
cervical spondylosis,"I've been having a lot of back pain, and it's been radiating down my arms and legs. I've also been having trouble staying balanced and experiencing dizziness. My neck hurts, too."
impetigo,I have a rash on my skin that has blisters. The blisters are filled with fluid and are painful to touch. I also have a fever.
gastroesophageal reflux disease,I get heartburn and indigestion a lot. It's worse when I eat spicy or fatty foods. I also get chest pain that gets worse when I lie down or bend over.
drug reaction,I have rashes that sometimes peel off my skin. This makes me more likely to get infections. My hands shake and I sometimes have tremors.
pneumonia,"I've been feeling really run down and achy, and I can't stop coughing. It hurts in my chest when I do, and my heart feels like it's racing. I've been coughing up a lot of gross, brown mucus."
urinary tract infection,"I've had low temps and blood in my urine for the past three days. My pee smells terrible, and my head hurts so much. I can't control when I need to pee."
malaria,"I have a high fever, chills, and severe itching. I also have a headache, excessive sweating, nausea, and muscle aches."
chicken pox,"I have a really bad rash on my skin. It's really itchy and painful. I also have a fever, headache, and fatigue."
varicose veins,I have some strange veins on my legs that I'm not sure about. I'm a bit overweight and I'm worried about them.
peptic ulcer disease,"I have pain in my stomach that is worse when I hunch down or lie down. I have pain after eating certain foods, like hot or acidic food. I sometimes have loose stools because of this."
psoriasis,"I have a rash on my skin that is itchy and irritating. It is also flaky. It has spread to other areas of my body, including my chest and belly. It is worse at night."
migraine,"I've been having a lot of headaches lately, and they're getting worse. I also have a sore neck, and I'm feeling anxious and irritated. I've also been having trouble seeing things clearly."
diabetes,"I have trouble breathing, especially when I'm outside. I start to feel hot and sweaty. I also get urinary tract infections and yeast infections a lot."
bronchial asthma,"I've been coughing a lot, and it's hard to breathe. I've also been coughing up a lot of thick, mucusy saliva. I've been feeling really tired, and I have a fever."
migraine,I've been having trouble seeing things clearly and they look distorted.
peptic ulcer disease,I have been having constipation and diarrhea. I also have a lack of energy and appetite.
diabetes,I've been having trouble healing from my wound. My hands and feet have been tingling and going numb. I've also been feeling very weak.
bronchial asthma,I have been having trouble breathing for a few days. I have a high fever and I feel very tired. Can you recommend some medications for me?
bronchial asthma,"I've been having a dry cough for a week, and I'm having trouble breathing. I feel weak and tired."
arthritis,I have been having a lot of pain in my joints and muscles. My neck is stiff and I have a hard time moving around. I also have a lot of pain when I try to steer my car.
fungal infection,"I've been having these red rashes that keep popping up and my skin is constantly itching. I've also noticed some odd color-different spots on my skin, as well as some little nodules on my skin that appear to be expanding."
common cold,"I feel like I'm getting a cold. My neck is swollen, and I'm exhausted. My throat is scratchy, and my eyes are burning red. My nose is really clogged, and I am experiencing facial pressure. My chest hurts, and I'm unable to smell anything."
migraine,"I have been having headaches that are so bad that I can't see straight. I also have nausea, vomiting, and sensitivity to light and sound."
cervical spondylosis,"I've been having neck pain, and I've been feeling lightheaded. I've also been having trouble standing still."
dengue,I have developed rashes all over my body that are itchy and I have lost my appetite. I feel very tired all day and I feel like something is wrong with my body.
allergy,I have a really bad sore throat and I feel tired all the time. I also get feverish and often have muscle aches. Sometimes my whole body just cramps up
urinary tract infection,"I have to urinate a lot, but when I do, it hurts and I only get a little bit out. The urine is cloudy and bloody and sometimes smells bad. I also feel nauseous."
urinary tract infection,I have been having a problem with my pee. It smells funny and sometimes it is red or black. I also have been having trouble sleeping because my body temperature keeps changing.
drug reaction,I have rashes that sometimes cause my skin to flake off. I'm more likely to get sick because of this. My hands sometimes shake and I feel shaky.
migraine,"I have been having migraines for a few days. I have distorted eyesight, excessive appetite, a painful neck, melancholy, irritability, acid reflux, indigestion, and regular headaches."
varicose veins,"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on my calf."
arthritis,"I have been feeling stiff, my neck is stiff, my joints are swollen, and I have muscular weakness. I also feel uncomfortable when I walk."
urinary tract infection,"I've had a low grade fever for the past four days, and my urine has been bloody. It smells really bad, and my head hurts. I can't control when I have to pee, and I have to go all the time."
peptic ulcer disease,"I have a burning feeling in my stomach. It's worse when I eat or drink. I also get heartburn, indigestion, and nausea."
gastroesophageal reflux disease,"I have a burning sensation in my chest and throat. It feels like acid or food is coming up into my throat. It's worse when I lie down. I also have heartburn and indigestion after I eat, and I sometimes throw up."
fungal infection,"My skin is really itchy, and it sometimes breaks out into a rash. I also have some weird areas of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules."
diabetes,I have to pee a lot and I'm always hungry. I get dizzy and confused a lot. I've also lost my eyesight.
arthritis,My neck is weak and stiff. My joints are enlarged and it is hard for me to walk without feeling stiff. Walking is also excruciatingly uncomfortable.
arthritis,"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain."
typhoid,I've been having a lot of pain in my stomach and I've been feeling really bloated and constipated. I've also been having a fever and chills.
gastroesophageal reflux disease,I have a lot of burping and belching. I get chest discomfort that goes up my neck and into my jaw and arm. I have pressure and tension in my chest.
allergy,I've been feeling sick for a few days. I have a sore throat and my nose is running. I've also been having trouble swallowing.
psoriasis,"I have red and inflamed skin around my mouth, nose, and eyes. It is often itchy and uncomfortable. Recently, it has gotten very painful."
varicose veins,I have varicose veins on my legs. They are swollen and protruding from my skin. They are painful and noticeable.
typhoid,I've been having terrible stomach pains and I've been vomiting and constipated. I'm worried about my health.
fungal infection,"I have a rash on my skin that is itchy and has been getting worse over time. There are also some patches of skin that are different colors than the rest, and I've noticed some bumps that look like little nodes."
cervical spondylosis,"I have been having back pain, a lingering cough, and muscle weakness. I also have dizziness and balance issues, and my neck hurts."
fungal infection,I have a rash on my skin that is itchy and uncomfortable. There are also some odd patches of skin that are a different color. I also have a few pimples on my skin that resemble little knots.
impetigo,I have a sore on my nose that has crusted over and is hard to touch. It used to leak a yellow-rust colored fluid and it is taking a lot longer to deal with using medication.
typhoid,"I have been having loose, watery stools many times a day. I have lost my appetite and am always sick. I am also developing a mild fever. My abdominal part pains a lot. I don't know what the reason behind all of these is."
fungal infection,"I've been really itchy lately and there are these rashy spots all over my skin. There are also some areas that look different in shade than the rest of my skin, and I've had some bumps that are kind of hard. I'm not sure what it is, but I'd like to get it checked out."
drug reaction,I have difficulty concentrating and I forget things a lot. I have low mental clarity and I have trouble remembering things.
jaundice,I've been feeling really sick and tired. I've also had a fever and lost a lot of weight. My skin and urine have both turned yellow. I've also been having some stomach pain.
chicken pox,I feel really sick. I have no energy and have lost my appetite. I also have small red spots on my skin.
cervical spondylosis,"I have a terrible backache, and I've been coughing a lot. My arms and legs are weak, and I have trouble balancing. My neck hurts too."
peptic ulcer disease,I have a lot of stomach pain and I have to take antacids to help. I have lost a lot of weight and I can't seem to gain it back. My mouth hurts really bad.
chicken pox,I'm really tired and weak. I can barely keep my eyes open. I have a fever and I don't feel like eating anything. I think I've lost my appetite.
pneumonia,"I've been feeling really cold and tired lately. I've been coughing a lot, and it hurts when I breathe. My heart is beating really fast, and when I cough, I cough up phlegm that's kind of a rusty color."
impetigo,I have small red sores near my nose and neck that are painful and inflamed. I also have a high fever.
typhoid,"I have been experiencing a lot of belly pain and constipation. I also feel like I need to vomit, and I am feeling very weak."
dengue,I have red spots on my arms and legs that are itchy and inflamed. I have been feeling sick to my stomach and have a constant urge to vomit. I also have a mild fever.
typhoid,I've been feeling really tired and weak for a few days now. I also have a fever and a pain in my stomach. I don't know what's wrong with me.
allergy,"I have a sore throat and a lot of sneezing. There are times when the skin around my eyes and my lips swell. I find that once I start, I just cannot stop."
pneumonia,"I've been feeling really unwell recently. I've been having chills, a cough, and a high temperature. I've also been struggling to breathe and I've been sweating a lot. I've also had some thick, black phlegm."
varicose veins,I have a rash on my legs that is getting worse. I have difficulty running.
peptic ulcer disease,I have a sour taste in my mouth. I burp and belch a lot. I have pressure or fullness in my upper abdomen.
malaria,"I've been feeling really sick for the past few days. I have a high fever, chills, and a headache. I've also been vomiting and sweating a lot. I'm also really itchy and my muscles are sore."
common cold,I've been feeling really tired and my eyes have been really red. My nose is stuffy and I've been coughing up a lot of phlegm. I've also noticed my lymph nodes are swollen.
typhoid,"I've been feeling really tired and weak, and I can't seem to shake it. I've also lost my appetite because of the vomiting and nausea. My stomach is also hurting me."
drug reaction,I have rashes on my skin that flake off and make me prone to infection. My fingers twitch and I sometimes shake.
diabetes,I'm always feeling tired and worn out. My vision is blurry and seems to be getting worse. I also get dizzy and lightheaded sometimes.
gastroesophageal reflux disease,"I have a sore throat or hoarseness, especially in the morning. I have a chronic nagging pain in my throat and bad breath. I also have frequent belching. I have a burning sensation in my chest when I lay down."
dengue,"I have been feeling nauseous and have a constant urge to vomit. I get high fever and chills every night and feel terrible because of this. Also, I feel I have lost my appetite."
hypertension,I was in the middle of a workout when I suddenly felt lightheaded and dizzy. I also had a headache and chest pain. I've been having trouble balancing myself since then.
dengue,"I've been vomiting a lot and I'm not hungry. My muscles, joints and back hurt all the time. I'm starting to have a fever too. I'm really worried and not sure what to do."
malaria,I've been feeling really hot and cold lately. I've also been itching a lot and have a headache. I've been sweating a lot and feel nauseous. My muscles are also aching.
malaria,"I've been feeling really sick lately. I've been having a high fever, chills, and vomiting. I'm also sweating a lot and have a headache. I feel nauseous and my muscles are really sore."
hypertension,"I was driving home from work and suddenly felt a headache, chest discomfort, and dizziness. I've been having trouble concentrating and focusing while driving since then."
common cold,"I've been sneezing a lot and I have a really bad cough. I feel weak and exhausted, and my temperature is high."
urinary tract infection,"I've been having to pee a lot, and it hurts. I've also been peeing blood. What should I do?"
psoriasis,I have a rash that is itchy and painful. My nails have little dents in them. I also have skin peeling in different parts of my body.
diabetes,I have trouble breathing when I exercise. I sweat a lot and get hot easily. I get yeast infections a lot.
chicken pox,I have rashes on my arms and neck that itch when I scratch them. I also have a fever. I don't know what is causing it. The itching is really bothering me.
cervical spondylosis,"I've been experiencing neck pain, vertigo, and instability. I've also been having a chronic cough and limb weakness."
impetigo,I have a rash on my face and it's really painful. There are little blisters around my nose and they're oozing yellow liquid.
impetigo,I have sores on my face. They are red and crusty. They are mostly around my nose and lips. They are painful and there is a yellow or rust-colored fluid coming out of them.
allergy,"I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start."
diabetes,I have to pee a lot and I'm always thirsty. I get dizzy and confused sometimes. I've also lost a lot of my vision.
varicose veins,"I have a lot of pain in my legs, especially when I stand or walk for a long time. The skin on my calves is also swollen and red."
fungal infection,"I have a rash on my skin that looks like dischromic patches, and I also have a lot of nodular eruptions and really bad itching. It has gotten worse over the last week."
psoriasis,"I have been having a lot of skin problems lately. I have red, scaly patches on my skin that are itchy and painful."
varicose veins,I have been feeling a lot of pain in my legs lately. It feels like a cramp and it is worse when I stand or walk for a long time.
peptic ulcer disease,"I have a lot of stomach pain, and it's hard for me to sleep. I also feel really anxious and have no appetite."
gastroesophageal reflux disease,"I have a lot of belching and burping. I also have chest pain that goes to my back, neck, and arm. I feel pressure and stress in my chest."
common cold,"I've been sneezing a lot, and my nose is running. I'm also feeling really tired and achy, and I've been coughing a lot. My fever is also pretty high."
hypertension,"I suddenly felt a headache, chest pain, and dizziness in the middle of a conference. I've been having trouble concentrating and focusing on the topic since then."
gastroesophageal reflux disease,I feel like I'm going to throw up after I eat. I have a lot of pain in my abdomen and I have really bad acid reflux.
pneumonia,"I've been feeling really bad, with a high fever, shortness of breath, sweating, chills, and extreme fatigue. My heart is racing, and I've been coughing up a lot of brown phlegm."
peptic ulcer disease,"I have been feeling bloated and uneasy for a while now. I've also been losing weight and I don't like eating as much as I used to. Sometimes I get bloody vomit and dark, tarry stools."
peptic ulcer disease,"I have a constant hunger and appetite. Sometimes my stomach will cramp and spasm. After I eat, I feel bloated and gassy."
jaundice,"I've been losing weight, feeling really tired, and throwing up a lot. My skin has turned yellow, and I have a fever. My urine is dark, and I've been having stomach pain."
chicken pox,I have a rash all over my body and I feel really sick. I have a fever and a headache and I don't know what's wrong.
common cold,"I have red, watery eyes and my sinuses are tight. I have trouble breathing and I'm tired. My lymph nodes are swollen and I have a lot of throat mucous."
chicken pox,"I have a fever, headache, and swollen lymph nodes. I feel weak and fatigued. I'm having trouble concentrating because of the fever."
drug reaction,I have a fever and I feel dizzy and lightheaded. My heart is beating very fast and I feel very confused. I can't think very clearly and everything feels foggy.
impetigo,"I have a fever, headache, and a rash on my arms and face. I'm also worried about the red sores around my nose and lips."
psoriasis,"I have a skin condition that causes dry, flaky patches on my skin. I also have joint pain and the skin on my knees and elbows is peeling off."
hypertension,"I've been having a headache, chest pain, dizziness, and trouble concentrating."
dengue,"I've been feeling sick and feel like I'm going to throw up. There's a sharp pain behind my eyes, and my back is covered in red spots."
typhoid,"I've been having constipation and belly pain for a few days now. The belly pain has been getting worse and is starting to affect my daily life. I also get chills every night, followed by a mild fever."
drug reaction,I have been taking this medication for a while and I have gained a lot of weight. I have also been craving different foods and have been eating more than I used to.
common cold,I've been feeling really run down and sick. I've been sneezing a lot and I can't seem to get warm. My head hurts and I feel like I have a fever.
allergy,"I feel sick to my stomach, lightheaded, and dizzy. My throat is swollen and I can't breathe well. I sometimes feel pain in my chest and nausea at night."
diabetes,I've been drinking a lot more water and going to the bathroom more often. My mouth and throat are always dry. I've also been hungrier than usual.
dengue,I have red spots on my body that are itchy and inflamed. I also have a high fever and chills.
psoriasis,I have noticed that my skin has been dry and itchy. There are some red patches on my skin that are covered in a silver like dusting.
hypertension,"I've been experiencing headaches, chest pain, and dizziness. I've also been having trouble walking and concentrating."
malaria,"I've been having a really high fever, chills, and nausea. I've also been sweating a lot and my muscles hurt. I feel really queasy and have a headache."
jaundice,"I have been feeling very sick lately. I have been having a lot of itching, vomiting, and fatigue. I have also lost a lot of weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been having some abdominal pain."
hypertension,"I've been having chest pain, dizziness, and a headache that feels like it's in a narrow zone around my head."
allergy,"I've been having trouble swallowing, and my throat is sore. My nose has been running, and I've been sneezing a lot."
pneumonia,"I've been feeling really tired and achy, and I can't seem to shake this cough. When I cough, my chest hurts and my heart feels like it's racing. I've also been coughing up a lot of nasty, rusty-colored phlegm."
peptic ulcer disease,"I have a stomach ache that keeps me up at night. After I use the bathroom, I feel tired and I don't want to eat. I'm always nervous."
impetigo,I have sores around my nose that are crusted over and hard to touch. They used to ooze a yellow-rust colored liquid. It is taking a long time to heal.
allergy,"I have a runny nose and sneeze a lot. My eyes are sore and watery, and I have a headache."
pneumonia,"I've been feeling really cold, and I'm so tired. I can't seem to shake this cough, and it hurts when I cough. My chest aches, and my heart is racing. The mucus I'm coughing up is a disgusting brownish color."
varicose veins,I have cramps in my calves that are getting worse. I can't walk very far without them getting really bad.
peptic ulcer disease,I have a sour acidic taste in my mouth. I have frequent belching and burping. I have a feeling of pressure or fullness in my upper abdomen that last for a few hours. I have a pain in my upper abdomen that is worse when I eat.
typhoid,I have been having a lot of stomach pain and constipation for the past few days. I have also lost my appetite and feel very weak.
gastroesophageal reflux disease,"I have a burning sensation in my chest and throat, and I often feel like I have to clear my throat. I also have a bad taste in my mouth and my breath smells bad."
impetigo,"I have a rash around my nose and mouth, and it's spreading to other parts of my body. I also have a fever."
chicken pox,I have a rash all over my body. It's red and itchy. I've also been feeling achy and tired.
impetigo,"I have a fever and a rash on my face. The rash is red and painful, and it's oozing yellow fluid."
allergy,"I'm always tired, my mouth tastes bad, and my throat itches. My muscles are hot and painful, and my whole body can cramp up sometimes."
common cold,"I have a runny nose and a sore throat. I've been coughing a lot, and my chest feels tight. I feel tired and achy, and I have no sense of smell."
pneumonia,"I'm having trouble breathing. I'm sweating and my heart is racing. My chest hurts and I'm coughing up dark, stringy mucus."
chicken pox,"I've been feeling really tired and weak. I can barely get out of bed in the morning, and I'm having trouble staying awake during the day."
jaundice,"I've been feeling really sick. I've had a fever, lost weight, and I've been really tired. My skin and my urine have turned yellow. I've also been having stomach pain."
allergy,"I have asthma and I get wheezing and breathing problems. I also have fevers, headaches, and I feel tired all the time."
impetigo,I have a rash on my face and nose. I don't know what it is. The sores on my cheek are big and they hurt to touch. I also have a burning feeling and redness on my skin.
urinary tract infection,I have a strong smell in my urine and it is cloudy. I have been having fevers and need to urinate more often at night.
arthritis,"My muscles are weak, and my neck is tight. My joints are swollen and it hurts to move."
gastroesophageal reflux disease,"I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also get the hiccups a lot and have a knot in my throat."
common cold,"I've been sneezing a lot, and I feel really tired. I have a lot of gunk in my nose and throat, and my throat hurts. My neck also feels swollen."
varicose veins,I have been having cramps in my calves when I walk or stand for long periods of time. I have also noticed bruise marks on my calves. I feel tired very soon.
urinary tract infection,"I've been having a lot of pain in my lower abdomen, and it feels like my bladder is about to explode when I urinate. I've also been feeling very weak and have had a low body temperature since these symptoms started."
cervical spondylosis,"I have been having back pain, a cough that won't go away, and weakness in my arms and legs. My neck hurts and I have been dizzy and have trouble keeping my balance."
hypertension,"I've been having headaches, chest pain, and lightheadedness. It's been hard to concentrate at work."
fungal infection,I have a rash all over my body. It's itchy and the patches are darker than the rest of my skin. I also have some firm lumps.
bronchial asthma,"I've been feeling really weak and tired lately, and I have a cough that just won't go away. I've also been running a high fever, and it's been hard for me to breathe. I've been coughing up a lot of mucous."
psoriasis,"I have a rash on my skin that is itchy and uncomfortable. It is also red and flaky. It has been spreading to other parts of my body, including my chest and abdomen. I am also facing skin peeling."
pneumonia,I'm having trouble breathing and I'm sweating a lot. I feel really sick and I have a lot of mucus in my throat. My chest hurts and my heart is racing. I'm coughing up a lot of dark mucus that looks like rust.
bronchial asthma,"I've been coughing a lot, and it's hard to breathe. I'm also really tired and exhausted. I've been coughing up a lot of thick, mucusy stuff. I have a fever, too."
